統計項目別,細項,樣本數（人）,沒有打算轉換工作（%）,有打算轉換工作（%）,因為待遇太低（%）,因為工作無發展前景（%）,因為興趣不合（%）,因為工作環境不佳（%）,因為個人技能無法有效發揮（%）,因為公司經營困難（%）,因為家庭或健康因素（%）,因為工作太累壓力大（%）,因為與同事或主管相處困難（%）,因為想自行開創事業（%）,因為擔心被解雇（%）,因為準備就業考試（%）,其他原因（%）
性別,男,1641,71.78,28.22,14.78,13.73,6.24,4.58,5.51,0.52,2.21,5.03,2.75,6.22,1.76,2.63,0
性別,女,2406,70.61,29.39,13.48,13.73,5.47,3.55,5.62,1.03,3.08,5.88,3.18,3.80,1.22,3.10,0
年齡,15-19歲,129,82.85,17.15,7.81,9.09,5.09,3.52,3.73,1.13,1.13,6.42,2.50,2.17,1.60,2.69,0
年齡,20-24歲,1061,73.71,26.29,12.61,13.70,5.50,3.86,6.42,0.43,2.11,3.98,2.85,3.37,1.29,4.16,0
年齡,25-29歲,2857,68.39,31.61,15.67,14.30,6.12,4.21,5.32,0.94,3.14,6.16,3.10,6.17,1.57,2.20,0
教育程度,國中及以下,72,73.95,26.05,3.93,8.89,8.29,0.74,5.94,0.00,4.12,4.99,2.04,5.12,0.00,2.87,0
教育程度,高中（職）,796,81.29,18.71,9.19,9.40,4.79,2.57,3.49,0.83,2.23,4.13,1.62,3.52,1.08,2.36,0
教育程度,專科,200,78.10,21.90,5.47,10.80,3.00,3.49,1.93,0.00,2.55,4.34,1.04,4.49,0.70,2.26,0
教育程度,大學,2599,66.93,33.07,16.97,15.53,6.35,4.81,5.98,0.72,2.63,6.29,3.81,5.55,1.74,3.16,0
教育程度,碩士及以上,380,66.56,33.44,17.31,17.01,6.13,4.52,10.44,1.81,3.58,4.57,2.62,5.26,1.89,2.75,0
專科以上科系,人文,669,64.69,35.31,18.79,17.43,6.73,3.93,7.67,1.11,3.27,4.80,1.98,6.84,1.38,5.21,0
專科以上科系,社會,1329,71.12,28.88,13.38,14.35,5.24,2.92,4.70,0.98,1.69,5.90,3.98,4.31,1.72,2.72,0
專科以上科系,科技,1240,65.63,34.37,17.70,15.11,6.61,6.61,7.25,0.44,3.46,6.41,3.51,6.35,1.71,2.16,0
