群組類別,主類別,名稱,名稱(英文),代表圖像,簡介,簡介(英文),類別,級別,郵遞區號,縣市,地址,經度,緯度,開放時間,開放時間(英文),休館日,休館日(英文),票價,票價(英文),聯絡人,聯絡人(英文),電話,傳真,email,FACEBOOK,網站,如何到達,如何到達(英文),公告日期,公告日期(英文),所屬主管機關,所屬主管機關(英文),來源網址,創建年代,創建年代(西元),作者,作者(英文),尺寸,尺寸(英文),材質,材質(英文),mainTypePK,點閱數
獨立書店,獨立書店,女書店,,,,,,,106,臺北市 大安區,新生南路3段56巷7號2樓,121.533669,25.020533,周一至周五 13:00-18:00，周六、周日及國定假日公休,,,,,,,,886-2-23638244,886-2-23631381,fembooks@fembooks.com.tw,女書店粉絲專頁,http://www.fembooks.com.tw/index.htm,捷運公館站3號出口,,,,,,,,,,,,,,,1,606
獨立書店,獨立書店,公館舊書城,,,,,,,100,臺北市 中正區,汀州路3段130號,121.533744,25.013919,週一到週日9:30-21:30,,,,,,,,886-2-23682260,,,,,捷運公館站1號出口,,,,,,,,,,,,,,,2,1144
獨立書店,獨立書店,古今書廊,,,,,,,100,臺北市 中正區,羅斯福路3段244巷17號及23號,121.530609,25.016675,每日10:30~22:00，除夕～初四公休,,,,,,,,博雅館: +886 2 2363 6358、人文館: +886 2 2367 1797,,pnp.book@msa.hinet.net,古今書廊粉絲專頁,pnpbook.blogspot.tw,捷運公館站4號出口,,,,,,,,,,,,,,,3,698
獨立書店,獨立書店,永樂座書店,,,,,,,100,臺北市 大安區,建國南路二段123巷6號,121.538294,25.02953,每日11:00-22:00週二至週四、週日：13:00-21:00 / 週五、週六：13:00-22:00 / 週一公休,,,,,,,,886-2-27077055,,eirakuza@gmail.com,https://www.facebook.com/eirakuza/timeline,http://eirakuza0730.pixnet.net/blog,捷運公館站4號出口,,,,,,,,,,,,,,,4,1437
獨立書店,獨立書店,台灣e店,,,,,,,106,臺北市 大安區,新生南路3段76巷6號1樓,121.533367,25.019285,每日10:00-21:30，除夕～初三公休,,,,,,,,886-2-23625799,,taiouan.shop@msa.hinet.net,台灣e店,http://www.taiouan.com.tw,捷運公館站3號出口，步行約5-10分鐘,,,,,,,,,,,,,,,5,459
獨立書店,獨立書店,伊聖詩書坊,,,,,,,106,臺北市 大安區,新生南路3段22巷7-1號1樓,121.533971,25.024206,週二至週日12:00-20:00；週一公休,,,,,,,,886-2-23621134,,kevinyuyuwei@gmail.com,https://www.facebook.com/escentsbooks/timeline,,公車「龍安國小（公務人力發展中心）」站,,,,,,,,,,,,,,,6,1047
獨立書店,獨立書店,南天書局,,,,,,,106,臺北市 大安區,羅斯福路3段283巷14弄14號1樓,121.532182,25.018345,週一～週五(第一.三週六) 8:30 ～ 18:00 週六.日.國定假日公休,,,,,,,,886-2-23620190,886-2-23623834,sales@smcbook.com.tw,南天書局粉絲專頁,http://www.smcbook.com.tw,1.捷運淡水線：公館站 3號出口，羅斯福路三段333巷右轉，步行約五分鐘抵達。 2.捷運小南門、新店線：台電大樓站 2號出口，沿著羅斯福路三段直行，從333巷口左轉，步行五分鐘抵達。,,,,,,,,,,,,,,,7,795
獨立書店,獨立書店,胡思二手書店(公館店),,,,,,,100,臺北市 中正區,羅斯福路3段308之1號2 樓(公館捷運站4號出口)(公館店出入口位於羅斯福路三段308-1號本棟正後方，請由兩側巷子繞進),121.532561,25.016149,週一至週五：12:00-22:00，週六、週日：11:00-22:00，公休除夕-初四,,,,,,,,886-2-23632168,,whose.books@msa.hinet.net,https://www.facebook.com/whosebook,http://www.whosebooks.com.tw,捷運公館站4號出口,,,,,,,,,,,,,,,8,826
獨立書店,獨立書店,茉莉二手書店(臺大店),,,,,,,100,臺北市 中正區,羅斯福路四段40巷2號一樓,121.531451,25.016188,每日12:00~22:00，除夕～初四休,,,,,,,,886-2-23692780,886-2-23686862,td@molliebook.com,茉莉二手書店臺大店,http://www.mollie.com.tw/Store_1.asp,捷運公館站或臺電大樓站，步行5分鐘,,,,,,,,,,,,,,,9,2601
獨立書店,獨立書店,唐山書店,,,,,,,106,臺北市 大安區,羅斯福路3段333巷9號地下室一樓,121.532797,25.017554,星期一～五9:00-22:00｜星期六～日10:00-22:00，全年無休,,,,,,,,886-2-23633072,886-2-23639735,tonsan@ms37.hinet.net,https://www.facebook.com/TonsanBookstore/timeline,http://blog.yam.com/tsbooks,捷運公館站3號出口，往臺灣大學方向步行約10分鐘，位於羅斯福路與新生南路間的巷弄中,,,,,,,,,,,,,,,10,705
